#Rank,CustomerId,Surname,Balance,CreditScore,Gender,Age,HasCrCard,EstimatedSalary
157,15681439,Tsou,60205,775,Male,25,1,14073
158,15766765,Obiuto,60263,664,Male,39,1,170835
159,15729668,Elizabeth,60281,521,Male,29,1,154271
160,15638621,Simmons,60375,735,Male,39,1,40224
161,15674179,Vorobyova,60515,513,Male,34,0,124571
162,15808228,Tuan,60603,768,Female,44,1,178046
163,15616555,Fu,60881,850,Male,41,1,31826
164,15664539,Bruce,61172,683,Male,35,0,82951
165,15659105,Borchgrevink,61197,669,Female,47,1,58170
166,15762882,Manna,61211,577,Female,31,1,145250
167,15793424,Tan,61275,663,Female,28,1,136054
168,15770554,Fraser,61297,769,Male,31,1,7118
169,15635500,Seleznyov,61320,605,Male,75,0,186655
170,15754577,Boni,61354,556,Female,51,1,198811
171,15617136,Mazzanti,61482,451,Female,38,1,167539
172,15612769,Carr,61582,692,Male,28,1,70180
173,15762332,Ulyanova,61592,568,Female,31,1,61797
174,15688193,Graham,61637,468,Male,36,0,107787
175,15747288,Ferri,61671,838,Female,40,0,150659
176,15764021,Frolov,61687,617,Male,34,1,105965
177,15727408,Koo,61689,523,Male,27,1,147059
178,15788367,Ellis,61691,487,Male,44,1,53088
179,15679200,Crawford,61710,580,Male,29,1,128078
180,15628999,Townsend,61811,732,Male,79,1,104223
181,15697000,Mello,61826,728,Male,32,1,156125
182,15613816,Mao,62052,539,Female,39,0,59755
183,15647725,Napolitano,62055,675,Female,61,1,166305
184,15684645,Ajuluchukwu,62078,704,Male,41,1,129051
185,15768945,Chibueze,62093,627,Male,27,1,105887
186,15720929,Kazantseva,62095,604,Female,47,0,9308
187,15799358,Vincent,62212,516,Female,46,0,171682
188,15813034,Martin,62277,727,Male,38,1,59281
189,15656726,Ch'ien,62322,771,Male,32,1,40921
190,15812918,Scott,62340,432,Female,27,0,53875
191,15765300,L?,62389,596,Male,40,1,148623
192,15630241,Tretyakova,62391,594,Male,61,1,192434
193,15643916,Munro,62400,619,Male,46,1,132498
194,15730448,Iroawuchi,62483,538,Male,25,1,102758
195,15684999,Ch'eng,62611,850,Female,26,0,179365
196,15646374,Wynne,62718,766,Female,28,1,13182
197,15794273,Hand,62733,604,Female,56,0,124955
198,15708505,Palerma,62975,641,Female,37,0,39016
199,15574119,Okwuadigbo,62980,598,Female,64,1,152274
200,15574795,Lombardo,63093,495,Female,38,1,47090
201,15594917,Miller,63095,676,Female,34,1,40646
202,15643630,Quaife,63127,770,Male,55,1,185211
203,15606274,Lori,63176,594,Male,38,1,14466
204,15652266,Chidiebele,63227,703,Male,42,0,137316
205,15690452,Tung,63350,605,Male,52,1,108887
206,15610355,Hunter,63439,713,Male,44,1,64375
207,15811565,Cocci,63489,705,Female,47,0,28641
208,15613656,Lombardi,63493,842,Male,58,1,83172
209,15650026,Barclay-Harvey,63562,513,Male,44,0,52630
210,15710689,Angel,63610,578,Male,40,0,74966
211,15802381,Li,63664,461,Female,34,0,167784
212,15702919,Collins,63669,729,Male,30,1,145111
213,15605264,Walker,63724,669,Male,47,1,181928
214,15753566,Espinosa,63763,806,Female,32,1,156593
215,15632125,Blake,63832,606,Male,45,1,93708
216,15713770,Shih,63874,586,Male,41,1,83754
217,15752626,Genovese,64082,553,Male,32,0,109160
218,15694272,Nkemakolam,64098,673,Male,30,1,77783
219,15727299,Edgar,64119,445,Male,62,1,76570
220,15758845,Rocher,64345,590,Female,37,0,61759
221,15724764,Lawley,64404,667,Female,42,0,26022
222,15565714,Cattaneo,64430,601,Male,47,0,96518
223,15730044,Greco,64498,809,Female,42,0,182437
224,15758116,Rossi,64647,666,Male,53,1,128019
225,15733014,Nolan,64668,813,Female,62,0,140454
226,15776223,Davide,64740,597,Female,42,1,106841
227,15727198,Teng,64808,689,Female,28,0,78591
228,15792722,Omeokachie,64898,611,Female,43,1,114996
229,15791030,Edwards,64900,612,Female,33,1,102426
230,15724563,Hawkins,65046,752,Female,42,0,140139
231,15682890,Woronoff,65095,745,Male,38,1,140197
232,15690743,Shao,65190,536,Female,61,1,64308
233,15750141,Reichard,65253,721,Female,36,1,28738
234,15664849,Colon,65269,573,Male,46,0,189989
235,15643575,Evseev,65350,757,Male,36,0,64540
236,15804131,Farmer,65407,850,Female,53,0,182634
237,15682928,Chiazagomekpere,65521,695,Male,39,1,1244
238,15739131,Whitworth,65643,718,Male,28,1,28761
239,15634628,Brown,65668,579,Female,33,0,164609
240,15616280,Hsia,65733,536,Male,46,1,61095
241,15604345,Kemp,65764,730,Female,22,1,145792
242,15697028,McClinton,65812,590,Male,34,0,160346
243,15780954,Cran,65848,582,Male,26,1,30149
244,15596181,Kwemto,65942,542,Male,38,1,68093
245,15742210,Ugochukwu,65963,700,Male,38,1,100950
246,15687658,Burgin,65972,716,Female,52,1,14608
247,15704788,Krawczyk,66079,812,Female,49,0,91557
248,15681402,Ngozichukwuka,66102,763,Female,61,1,143981
249,15743709,Toomey,66190,683,Male,30,1,115187
250,15567078,Kovaleva,66202,789,Female,27,1,79458
251,15762455,Yeh,66220,624,Male,33,0,170819
252,15801316,Ifeatu,66251,523,Male,61,1,21859
253,15800031,Laura,66339,681,Male,43,1,18773
254,15720649,Ferdinand,66393,641,Female,36,1,31107
255,15782100,Holloway,66483,544,Male,22,0,110317
256,15605872,Felix,66573,707,Male,73,1,62769
257,15641934,Manna,66583,749,Female,46,1,78753
258,15566380,Drury,66949,586,Female,33,1,140759
259,15625675,Clements,67088,569,Male,36,1,154776
260,15631189,Riggs,67112,613,Male,38,1,78567
261,15773723,Duncan,67178,588,Female,22,1,163535
262,15729362,Lombardi,67226,745,Male,36,1,130790
263,15568506,Forbes,67239,524,Female,31,1,161811
264,15600997,Demuth,67495,747,Female,32,0,77370
265,15690647,Rogers,67563,582,Female,46,1,44506
266,15782159,Ndubuagha,67640,850,Male,28,1,194245
267,15654409,Unwin,67817,665,Female,34,1,29642
268,15738181,Douglas,67996,850,Male,31,0,50130
269,15694860,Uspensky,68066,675,Female,38,0,138777
270,15628170,Brown,68067,565,Female,32,1,143288
271,15673084,Galkin,68080,645,Male,38,0,166265
272,15656330,Von Doussa,68138,528,Female,32,1,170309
273,15662067,Summers,68156,743,Male,40,1,94877
274,15667417,Tao,68194,572,Male,33,1,19998
275,15802585,Pisani,68214,634,Female,41,1,6382
276,15736327,Manna,68239,567,Female,46,1,109573
277,15694098,Jackson,68333,575,Female,54,1,144391
278,15636061,Pope,68346,649,Male,78,1,142567
279,15625445,Parkin,68348,572,Female,36,0,50400
280,15577178,Genovese,68375,511,Male,45,1,193160
281,15702145,Edments,68424,705,Male,33,1,64873
282,15815626,Oluchi,68432,640,Male,63,1,112503
283,15599289,Yeh,68599,724,Female,37,1,157863
284,15598086,Brown,68640,624,Female,45,1,168002
285,15790658,Iqbal,68684,621,Male,42,1,74158
286,15750299,Davison,68782,746,Male,24,0,47997
287,15679961,Davidson,68800,708,Male,46,1,39704
288,15751524,Chigozie,68807,677,Female,36,1,33075
289,15575748,Conti,68882,809,Male,36,0,109135
290,15684951,He,68893,542,Female,59,1,7905
291,15585928,Hay,68928,821,Female,31,1,25445
292,15814553,Ball,69000,559,Female,34,1,66879
293,15763704,Docherty,69014,692,Female,43,0,164621
294,15746737,Eames,69130,565,Male,59,1,170706
295,15605835,Rice,69144,743,Male,37,0,105780
296,15756299,Davis,69311,741,Female,64,1,59238
297,15775590,Mackay,69329,482,Female,48,0,102641
298,15588450,Chukwudi,69365,633,Female,60,1,10288
299,15641490,Windsor,69385,850,Female,25,1,87834
300,15609458,Vincent,69413,797,Male,30,1,74638
301,15657317,Allan,69424,789,Female,32,1,107499
302,15781129,Montgomery,69434,687,Male,38,1,66580
303,15787222,Ch'in,69459,676,Male,28,1,128461
304,15692443,Piccio,69479,612,Male,33,1,8974
305,15632848,Ferrari,69519,634,Female,36,1,116238
306,15603111,Muir,69608,850,Male,71,1,97893
307,15568120,Lacross,69610,681,Female,37,1,72128
308,15790448,Calabresi,69617,473,Female,35,1,143346
309,15596647,Henderson,69713,768,Male,54,1,69381
310,15720820,Sabbatini,69881,462,Female,24,0,64421
311,15793070,Fiorentino,69975,494,Female,41,1,188426
312,15811261,Alaniz,70106,617,Male,42,1,120831
313,15742504,Azuka,70181,593,Male,36,1,80608
314,15643679,Goliwe,70234,784,Male,28,1,179253
315,15603550,Longo,70259,588,Female,37,1,139608
316,15803365,Coffee,70264,653,Male,55,0,62348
317,15723950,Kruglov,70291,684,Male,40,1,115469
318,15658485,Heath,70302,785,Female,34,1,68600
319,15585768,Cameron,70349,582,Male,41,0,178074
320,15773852,Hayes,70363,533,Male,38,1,104189
321,15778290,Lappin,70417,799,Male,70,1,36484
322,15607753,Alexandrova,70418,606,Female,23,0,90896
323,15732674,Fennell,70438,443,Male,36,0,56937
324,15639549,Jen,70541,718,Female,33,0,88593
325,15756920,Genovesi,70655,576,Male,63,0,78956
326,15779423,K?,70658,716,Male,39,1,76476
327,15579166,Munro,70729,619,Female,30,1,160949
328,15608653,Davison,70731,521,Female,34,1,20244
329,15591985,Stewart,70754,708,Female,51,1,92920
330,15744200,Ni,70784,587,Female,36,1,30580
331,15686219,Wan,71019,611,Male,38,1,2444
332,15609977,Mundy,71027,587,Male,47,1,57962
333,15584704,Chiazagomekpele,71084,519,Male,48,1,137959
334,15599386,Black,71097,627,Male,28,1,130504
335,15790336,Tokareva,71143,664,Male,36,1,122433
336,15791842,Johnstone,71187,478,Female,32,1,110594
337,15624397,Moore,71240,627,Male,43,0,127734
338,15585595,Owens,71264,774,Female,28,0,68760
339,15633181,Swinton,71270,792,Male,31,0,125913
340,15775703,Lo,71281,702,Male,26,1,108747
341,15751445,Chikwado,71283,734,Female,52,0,38984
342,15576313,Wei,71340,486,Female,40,1,76192
343,15568164,Istomin,71380,850,Female,34,1,154001
344,15611315,Ts'ao,71433,708,Female,23,1,103698
345,15788676,Riley,71461,539,Male,38,1,10074
346,15741275,Yuan,71482,623,Female,57,1,84421
347,15566156,Franklin,71498,749,Female,44,0,151084
348,15676513,Burns,71554,601,Male,35,1,177384
349,15725039,McIntyre,71668,702,Male,32,1,126082
350,15643215,Jen,71668,602,Male,38,0,137112
351,15709780,Azuka,71787,667,Female,37,1,67735
352,15794360,Hao,71817,592,Female,70,1,105097
353,15648272,Medvedeva,71829,658,Male,35,1,68142
354,15656322,Sandover,71843,571,Male,33,1,26772
355,15578738,Tuan,71872,609,Male,32,1,151925
356,15789865,Nnaife,71903,620,Male,28,0,190208
357,15650545,Tomlinson,71996,849,Male,69,1,139066
358,15591248,Chukwumaobim,71996,628,Female,29,1,34857
359,15745375,Nnanna,72013,640,Male,23,1,161333
360,15682914,Bolton,72080,850,Male,34,1,115768
361,15665283,Brookes,72093,610,Female,57,0,113229
362,15631159,H?,72253,705,Male,41,1,142515
363,15730735,Henning,72287,713,Male,38,1,26137
364,15766017,Brookman,72309,615,Male,58,1,85687
365,15752139,Salter,72374,682,Male,36,1,36896
366,15753719,Rickards,72392,547,Female,30,1,77077
367,15614847,Townsend,72495,674,Female,45,0,140042
368,15718843,Maslova,72510,769,Male,41,1,25724
369,15698816,Tuan,72535,721,Female,33,1,103931
370,15681697,Rueda,72541,508,Male,31,1,129803
371,15753462,Godson,72549,632,Male,30,0,182729
372,15641007,Holden,72594,614,Female,38,1,76042
373,15704657,Denman,72648,601,Male,39,1,41778
374,15795737,McNaughtan,72664,771,Female,47,1,107874
375,15661007,Thompson,72783,660,Male,33,0,181052
376,15675888,Austin,72788,550,Female,33,1,103608
377,15800251,Elder,72836,583,Female,26,1,96792
378,15610090,Han,72945,667,Male,40,1,98932
379,15736778,Adams,72949,807,Female,60,1,17355
380,15794870,Sal,73023,744,Male,38,1,78771
381,15707551,Hutcheon,73054,568,Male,30,1,27012
382,15634591,Saunders,73059,850,Male,33,1,186281
383,15598892,Bradshaw,73070,828,Male,30,0,161671
384,15576760,Onodugoadiegbemma,73088,673,Male,36,0,196142
385,15579994,Shaw,73113,616,Male,23,1,62733
386,15807989,Wall,73179,681,Male,37,1,25293
387,15667216,Chung,73195,579,Female,29,1,129209
388,15806929,Ch'ien,73195,751,Male,36,1,89223
389,15707968,Akobundu,73211,545,Male,36,1,89587
390,15580953,Forbes,73219,544,Male,30,0,126797
391,15620981,Wickham,73309,684,Female,48,0,21228
392,15627637,Obioma,73314,709,Male,23,1,63446
393,15591091,Goering,73349,644,Male,44,1,157167
394,15733476,Gonzalez,73481,543,Male,30,1,176693
395,15681476,Foveaux,73493,520,Female,39,0,109626
396,15637774,Fraser,73494,558,Male,32,0,136301
397,15719950,Sutherland,73688,682,Male,61,1,172141
398,15587233,Donoghue,73700,457,Male,41,1,185750
399,15613699,Schnaars,73937,430,Female,60,1,161938
400,15697801,Sokolova,74129,605,Female,56,1,62200
401,15765982,Chin,74136,735,Male,41,1,11783
402,15643496,Randolph,74197,730,Female,34,1,96876
403,15746035,Pagnotto,74237,450,Male,25,0,195463
404,15770543,Lowe,74260,679,Male,37,1,194618
405,15623107,Chukwumaobim,74275,686,Male,45,1,64907
406,15749130,Dyer,74298,621,Male,27,1,52582
407,15721433,Hixson,74306,664,Female,38,1,154396
408,15659486,Yudina,74310,586,Male,34,1,15035
409,15608760,Cox,74323,656,Female,30,1,22929
410,15719276,T'ao,74371,741,Male,35,0,99596
411,15778345,Stevens,74386,749,Female,33,1,20164
412,15648367,Lo,74430,600,Female,29,1,96051
413,15744240,Shen,74458,688,Female,46,0,6866
414,15712608,Costa,74484,787,Female,42,0,44274
415,15676895,Cattaneo,74596,547,Female,39,1,85747
416,15678284,Pai,74624,651,Male,35,1,129451
417,15625904,Wang,74682,624,Male,26,0,31231
418,15628144,Soares,74813,635,Female,72,0,27448
419,15758831,Thornton,74896,754,Male,39,0,34430
420,15790809,Lo Duca,74897,685,Male,40,1,198694
421,15646756,Murphy,74964,682,Female,33,1,32771
422,15716619,Chiebuka,74975,580,Female,36,1,12100
423,15683213,Bergamaschi,74989,554,Female,35,0,190155
424,15624633,Kibby,74990,702,Male,45,1,171015
425,15745326,Carandini,75051,538,Female,62,0,17682
426,15777797,Kovalyova,75075,689,Male,38,1,8652
427,15682355,Sabbatini,75075,772,Male,42,1,92889
428,15634974,Seppelt,75150,614,Female,37,0,131767
429,15586757,Anenechukwu,75171,801,Female,32,1,37899
430,15630661,Vasilyev,75212,614,Female,25,1,58965
431,15675518,Charlton,75226,499,Female,53,0,144849
432,15715769,Hao,75238,621,Male,26,0,44220
433,15654300,Mao,75242,530,Male,33,0,101695
434,15591969,Kuo,75263,497,Male,27,1,164825
435,15731267,Rizzo,75264,797,Male,37,1,85802
436,15671345,Piccio,75303,531,Female,42,0,57034
437,15631222,Cattaneo,75340,485,Female,39,1,70665
438,15680278,Ts'ai,75361,661,Female,42,1,27608
439,15712772,Onwubiko,75381,757,Male,28,1,199728
440,15670668,Webb,75396,658,Male,29,0,54915
441,15609011,Barry,75408,480,Male,47,1,25888
442,15715297,Yuan,75470,779,Female,40,1,52894
443,15815530,Chin,75498,612,Female,42,0,149683
444,15771997,Bryant,75499,791,Female,31,1,22184
445,15718673,Mirams,75592,839,Female,33,1,62674
446,15749265,Carslaw,75682,427,Male,42,1,57098
447,15654964,Piccio,75802,608,Male,48,1,125763
448,15647091,Endrizzi,75888,725,Male,19,0,45614
449,15806327,Cyril,75893,800,Female,40,1,132562
450,15577806,Chiu,75901,794,Female,54,1,192155
451,15750769,Padovano,75916,725,Male,35,1,150507
452,15798470,Scannell,75991,764,Female,48,1,158324
453,15569209,Amaechi,76002,464,Female,34,1,158669
454,15668289,McWilliams,76088,690,Male,32,0,151823
455,15800961,Ugorji,76102,627,Male,52,0,177238
456,15593295,Greathouse,76166,548,Male,57,1,133538
457,15808621,Mordvinova,76190,659,Male,36,1,149066
458,15591822,Mackenzie,76227,593,Male,26,1,167565
459,15726103,Tsou,76297,689,Female,55,1,42365
460,15749345,Simpson,76319,468,Female,22,1,194783
461,15790810,Han,76320,844,Female,41,1,141175
462,15793842,Krichauff,76323,700,Female,34,1,128136
463,15688251,Mamelu,76409,767,Male,43,1,77838
464,15590228,Greenwalt,76467,715,Male,21,1,173512
465,15665385,Gibney,76495,657,Male,44,1,79072
466,15803685,Greco,76511,673,Female,77,0,59596
467,15729599,Lorenzo,76549,804,Male,33,0,98453
468,15656096,Cumbrae-Stewart,76554,679,Female,26,1,184800
469,15754952,Su,76595,602,Female,48,0,127095
470,15773779,Jacka,76598,593,Female,46,1,54454
471,15723013,Sutherland,76656,613,Male,28,1,185483
472,15583681,Layh,76666,616,Male,31,1,163809
473,15677387,Folliero,76692,749,Female,33,0,30396
474,15577170,Manfrin,76706,532,Male,60,0,13890
475,15581115,Middleton,76770,603,Female,39,0,48225
476,15773487,Conway,76799,634,Female,31,0,196022
477,15815316,Kennedy,76817,644,Male,50,1,196371
478,15713949,Woods,76914,850,Male,40,1,174183
479,15800434,Burgess,76915,811,Male,52,0,146360
480,15806941,Sharpe,76962,499,Male,60,1,83644
481,15686983,Rohu,76968,678,Female,25,0,131502
482,15578783,Mai,76990,620,Male,35,1,17243
483,15721719,Calabresi,77002,743,Male,42,1,80428
484,15596088,Fanucci,77066,705,Female,50,0,145159
485,15751549,H?,77083,658,Male,31,0,13482
486,15568240,Ting,77169,492,Female,30,0,146700
487,15575185,Bushell,77253,757,Male,33,0,194240
488,15637876,Burns,77254,663,Female,36,0,35818
489,15721582,Hale,77270,644,Female,40,1,115800
490,15578603,Alexeieva,77354,584,Female,54,0,138193
491,15583221,Arnold,77357,667,Male,70,1,20882
492,15674620,Dilibe,77374,679,Female,37,0,174873
493,15697318,Ifeatu,77487,771,Male,32,0,33143
494,15701687,Campbell,77527,664,Male,44,0,57339
495,15748595,Stanton,77557,689,Female,29,1,122998
496,15626898,Teng,77599,743,Male,30,0,144407
497,15668142,Chang,77608,700,Male,37,1,175373
498,15810203,Manning,77627,499,Female,44,1,108223
499,15730059,Udobata,77637,638,Male,44,1,111346
500,15714062,Millar,77642,690,Female,40,0,189052
501,15616630,Tobenna,77648,583,Female,41,1,190430
502,15744695,Tu,77652,694,Male,39,1,25408
503,15690330,Efimov,77702,830,Female,40,0,19512
504,15632551,Buccho,77743,625,Male,31,1,75336
505,15715465,Aksenova,77776,714,Male,28,1,177737
506,15803406,Ross,77780,748,Female,26,0,183049
507,15603328,Lucchesi,77806,483,Male,27,1,2102
508,15600708,Calabresi,77827,640,Female,34,1,168545
509,15628112,Hughes,77847,771,Female,36,0,99806
510,15659710,Lascelles,77887,581,Male,25,1,150319
511,15591550,Bianchi,77910,525,Male,36,1,67238
512,15742809,Mironova,77920,712,Female,29,1,122548
513,15799785,Ikemefuna,77950,679,Female,30,1,121151
514,15732943,Okwuoma,77968,574,Male,36,1,167067
515,15671032,He,77993,760,Male,42,1,97906
516,15612633,Kao,78023,581,Male,43,0,30663
517,15796115,Forbes,78120,689,Female,40,1,119259
518,15756751,Griffiths,78126,596,Female,54,1,153483
519,15674343,Esposito,78128,597,Male,44,0,109153
520,15775826,Iadanza,78133,677,Male,30,0,174226
521,15770420,Dillon,78136,749,Male,46,1,73471
522,15678385,Lange,78247,465,Male,25,1,10472
523,15644882,Watson,78250,616,Female,36,1,136935
524,15679884,Hs?eh,78315,544,Male,48,1,103714
525,15695932,Yelverton,78381,766,Male,36,0,153832
526,15751628,Onyemachukwu,78391,438,Male,60,0,49425
527,15674583,Trevisani,78396,768,Male,25,1,8316
528,15746726,Doyle,78399,438,Male,31,1,44937
